0	austri
1	guard
2	kamen
3	blue_opal_secretary
4	drunken_dwarf
5	lollk
6	guard
8	dwarf
11	fairy
12	fairy_queen
13	fairy_shopkeeper
14	banker
16	gnome_child
17	gnome_shop_keeper
18	brimstail
19	waydar
20	king_bolren
21	gnome
22	commander_montai
23	gnome_banker
24	shamus
52	tramp
53	yellow_partyhat
60	pillory_guard
63	pith_helmet
68	bandana_and_eyepatch
70	rolad
76	highwayman_mask
77	priest
113	a_wanderer
114	spiked_helmet
116	rune_heraldic_helm
126	bandana_and_eyepatch
134	highwayman_mask
138	child
139	child
140	sergeant_damien
141	ogre_trader
142	magic_logs
147	spirit_tree
148	spirit_tree
149	general_khazard
150	plague_jacket
151	male_arms
152	khazard_guard
155	elemental_shield
156	yak_hide_armour
157	khazard_armour
158	male_arms
159	thug
160	king_lathas
162	male_arms
163	male_arms
164	iron_platebody
165	the_fisher_king
167	male_arms
168	battle_mage
169	thief
170	male_arms
172	air_elemental
173	void_knight_top
174	shade
176	male_hands
177	leather_vambraces
178	green_dhide_vamb
179	cooking_gauntlets
180	demon_butler
181	male_feet
182	sergeant_damien
183	male_feet
184	ice_warrior
185	boots_of_lightness
186	tan_cavalier
187	red_partyhat
188	desert_disguise
189	santa_hat
190	pirates_hat
191	squire
192	king_percival
193	capn_izzy_no_beard
194	sailors_hat
196	forester
198	black_beret
199	chefs_hat
201	red_headband
202	wizard_hat
203	male_hair
205	head_mourner
206	male_hair
207	omart
208	sigbert_the_adventurer
209	viyeldi
210	male_hair
211	mining_instructor
212	gas_mask
213	ice_warrior
214	male_hair
215	male_hair
217	male_hair
218	iron_full_helm
219	iron_med_helm
220	leather_cowl
221	ticket_merchant
222	big_bones
223	male_hair
224	most_of_a_zombie
225	guard
226	shade
227	count_draynor
228	rick_turpentine
229	sergeant_damien
230	male_hair
231	tribesman
232	knight_of_ardougne
233	guard
235	male_hair
236	eye_patch
237	flowers
238	councillor_halgrive
239	dragon_med_helm
241	paladin
242	barbarian
243	highwayman_mask
244	master_fisher
245	doctor_orbon
246	male_jaw
247	male_jaw
248	male_jaw
249	male_jaw
250	male_jaw
251	male_jaw
252	male_jaw
253	male_jaw
254	mime_legs
256	monk_of_zamorak
257	jail_guard
258	green_dhide_chaps
259	bartender
260	druid
262	leather_chaps
263	harry
264	chancy
265	priest_gown
266	iron_plateskirt
267	man
268	iron_platelegs
269	khazard_trooper
271	zoo_keeper
273	doctor_orbon
274	man
275	male_legs
276	guard
277	studded_chaps
278	mazchna
279	tribesman
280	unblessed_symbol
281	perfect_necklace
282	pendant_of_lucien
283	glarials_amulet
284	unblessed_symbol
285	beads_of_the_dead
286	unpowered_symbol
287	ivan_strom
289	cat_training_medal
290	amulet_of_accuracy
291	bartender
292	male_torso
293	lowe
294	iron_chainbody
295	plague_jacket
296	hardleather_body
297	squire
298	guard
299	man
301	bronze_chainbody
302	obli
303	studded_body
